event,latency
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",391
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",355
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",353
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",287
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",251
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",226
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",542
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",355
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",317
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",328
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",290
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",241
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",150
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",210
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",192
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",155
"{'situation': 'TrafficJam', 'object': 'School'}",187
"{'situation': 'TrafficJam', 'object': 'School'}",131
"{'situation': 'BlockedBuilding', 'object': 'Family'}",489
"{'situation': 'BlockedBuilding', 'object': 'Family'}",474
"{'situation': 'BlockedBuilding', 'object': 'Family'}",449
"{'situation': 'BlockedBuilding', 'object': 'Family'}",434
"{'situation': 'BlockedBuilding', 'object': 'Family'}",346
"{'situation': 'BlockedBuilding', 'object': 'Family'}",258
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'BlockedBuilding', 'object': 'Family'}",589
"{'situation': 'BlockedBuilding', 'object': 'Family'}",581
"{'situation': 'BlockedBuilding', 'object': 'Family'}",559
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",553
"{'situation': 'PanickedPeople', 'object': 'Students'}",438
"{'situation': 'PanickedPeople', 'object': 'Students'}",432
"{'situation': 'PanickedPeople', 'object': 'Students'}",422
"{'situation': 'PanickedPeople', 'object': 'Students'}",416
"{'situation': 'PanickedPeople', 'object': 'Students'}",406
"{'situation': 'PanickedPeople', 'object': 'Students'}",388
"{'situation': 'PanickedPeople', 'object': 'Students'}",370
"{'situation': 'PanickedPeople', 'object': 'Students'}",322
"{'situation': 'PanickedPeople', 'object': 'Students'}",316
"{'situation': 'PanickedPeople', 'object': 'Students'}",251
"{'situation': 'PanickedPeople', 'object': 'Students'}",241
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'TrafficJam', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",219
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",181
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",136
"{'situation': 'TrafficJam', 'object': 'School'}",33
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'FloodedBuilding', 'object': 'Students'}",870
"{'situation': 'FloodedBuilding', 'object': 'Students'}",848
"{'situation': 'FloodedBuilding', 'object': 'Students'}",826
"{'situation': 'FloodedBuilding', 'object': 'Students'}",812
"{'situation': 'FloodedBuilding', 'object': 'Students'}",798
"{'situation': 'FloodedBuilding', 'object': 'Students'}",776
"{'situation': 'TrafficJam', 'object': 'School'}",0
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",0
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'FloodedBuilding', 'object': 'Students'}",944
"{'situation': 'FloodedBuilding', 'object': 'Students'}",922
"{'situation': 'FloodedBuilding', 'object': 'Students'}",900
"{'situation': 'FloodedBuilding', 'object': 'Students'}",886
"{'situation': 'FloodedBuilding', 'object': 'Students'}",872
"{'situation': 'FloodedBuilding', 'object': 'Students'}",850
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",968
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",969
"{'situation': 'MildlyInjuredPeople', 'object': 'Street'}",567
"{'situation': 'MildlyInjuredPeople', 'object': 'Street'}",517
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'NoWaterPeople', 'object': 'School'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",990
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",990
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",970
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",951
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",946
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",926
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",920
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",883
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",884
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",797
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",737
"{'situation': 'NoWaterPeople', 'object': 'Family'}",948
"{'situation': 'NoWaterPeople', 'object': 'Family'}",957
"{'situation': 'NoWaterPeople', 'object': 'Family'}",939
"{'situation': 'NoWaterPeople', 'object': 'Family'}",914
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",648
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",620
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",604
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",534
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",552
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",536
"{'situation': 'BlockedByDebris', 'object': 'Family'}",492
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",266
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",960
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",950
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",940
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",915
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",870
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",840
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",783
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",758
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",748
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",770
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",708
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",731
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",721
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",698
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",688
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",696
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",648
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",608
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",578
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",548
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",538
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",528
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",518
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",508
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",468
